Statistical profiling result from isolate-0x102001600-v8-67892.log, (160849 ticks, 10639 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
     12    0.0%    0.0%  Stub: CEntryStub {1}
     12    0.0%    0.0%  LazyCompile: *uint32 /Volumes/Fast/Dropbox/Development/Node/nzbindexer/node_modules/msgpack-lite/lib/read-format.js:140:16
     12    0.0%    0.0%  LazyCompile: *parseType /Volumes/Fast/Dropbox/Development/Node/nzbindexer/node_modules/redis-parser/lib/parser.js:292:20
     12    0.0%    0.0%  LazyCompile: *isOk /Volumes/Fast/Dropbox/Development/Node/nzbindexer/lib/subjectextracter.js:220:6
     12    0.0%    0.0%  LazyCompile: *<anonymous> /Volumes/Fast/Dropbox/Development/Node/nzbindexer/node_modules/msgpack-lite/lib/read-token.js:158:18
     12    0.0%    0.0%  Handler: length
     12    0.0%    0.0%  Builtin: GlobalIsNaN
     11    0.0%    0.0%  Stub: LoadFieldStub {1}
     11    0.0%    0.0%  Stub: LoadConstantStub {1}
     11    0.0%    0.0%  Stub: CompareICStub {8}
     11    0.0%    0.0%  LazyCompile: *split native string.js:134:23
     11    0.0%    0.0%  LazyCompile: *Uint8Array native typedarray.js:229:31
     11    0.0%    0.0%  LazyCompile: *Deque$push /Volumes/Fast/Dropbox/Development/Node/nzbindexer/node_modules/double-ended-queue/js/deque.js:47:43
     11    0.0%    0.0%  Handler: subject
     11    0.0%    0.0%  Builtin: StringEqual
     11    0.0%    0.0%  Builtin: JSConstructStubGeneric
     11    0.0%    0.0%  Builtin: JSBuiltinsConstructStubForDerived
     10    0.0%    0.0%  RegExp: ^[0-9a-z_]{10}$
     10    0.0%    0.0%  LazyCompile: *slice buffer.js:840:40
     10    0.0%    0.0%  LazyCompile: *print.forEach /Volumes/Fast/Dropbox/Development/Node/nzbindexer/lib/subjectextracter.js:261:18
     10    0.0%    0.0%  LazyCompile: *cleanDuplicateFilenames /Volumes/Fast/Dropbox/Development/Node/nzbindexer/lib/subjectextracter.js:159:25
     10    0.0%    0.0%  KeyedStoreIC: A keyed store IC from the snapshot {3}
     10    0.0%    0.0%  Builtin: FunctionPrototypeCall
      9    0.0%    0.0%  Stub: LoadFieldStub {6}
      9    0.0%    0.0%  Stub: LoadFieldStub {2}
      9    0.0%    0.0%  Stub: FastNewObjectStub
      9    0.0%    0.0%  RegExp: ^[0-9a-z]{10}$
      9    0.0%    0.0%  LazyCompile: *brpoplpush /Volumes/Fast/Dropbox/Development/Node/nzbindexer/lib/queue.js:40:12
      9    0.0%    0.0%  Handler: extension
      9    0.0%    0.0%  Handler: An IC handler from the snapshot {4}
      8    0.0%    0.0%  Stub: ToBooleanICStub
      8    0.0%    0.0%  Stub: StoreFieldStub {5}
      8    0.0%    0.0%  LazyCompile: *forEach native array.js:795:22
      8    0.0%    0.0%  Handler: _chunks
      8    0.0%    0.0%  Builtin: NumberPrototypeToString
      7    0.0%    0.0%  Stub: RecordWriteStub {9}
      7    0.0%    0.0%  Stub: RecordWriteStub {4}
      7    0.0%    0.0%  Stub: LoadFieldStub {4}
      7    0.0%    0.0%  Stub: BinaryOpICWithAllocationSiteStub(ADD_CreateAllocationMementos:String*String->String) {2}
      7    0.0%    0.0%  LazyCompile: ~splitted.forEach /Volumes/Fast/Dropbox/Development/Node/nzbindexer/lib/subjectextracter.js:167:21
      7    0.0%    0.0%  LazyCompile: ~emit events.js:136:44
      7    0.0%    0.0%  LazyCompile: *printErrors /Volumes/Fast/Dropbox/Development/Node/nzbindexer/lib/subjectextracter.js:249:13
      7    0.0%    0.0%  LazyCompile: *exports._unrefActive timers.js:109:32
      7    0.0%    0.0%  LazyCompile: *<anonymous> /Volumes/Fast/Dropbox/Development/Node/nzbindexer/node_modules/msgpack-lite/lib/read-format.js:153:18
      7    0.0%    0.0%  Handler: file {2}
      7    0.0%    0.0%  Handler: An IC handler from the snapshot {6}
      7    0.0%    0.0%  Builtin: DateConstructor_ConstructStub
      6    0.0%    0.0%  Stub: ToBooleanICStub {2}
      6    0.0%    0.0%  Stub: StrictEqualStub
      6    0.0%    0.0%  Stub: StoreFieldStub {9}
      6    0.0%    0.0%  Stub: StoreFieldStub {8}
      6    0.0%    0.0%  Stub: StoreFieldStub {1}
      6    0.0%    0.0%  Stub: RecordWriteStub {3}
      6    0.0%    0.0%  Stub: MathPowStub
      6    0.0%    0.0%  Stub: LoadGlobalICTrampolineStub
      6    0.0%    0.0%  Stub: CompareICStub {6}
      6    0.0%    0.0%  RegExp: \\.r\\d{1\,5}$
      6    0.0%    0.0%  RegExp: [ ._-]sample$
      6    0.0%    0.0%  LazyCompile: ~<anonymous> /Volumes/Fast/Dropbox/Development/Node/nzbindexer/node_modules/msgpack-lite/lib/read-token.js:151:18
      6    0.0%    0.0%  LazyCompile: *readDoubleBE /Volumes/Fast/Dropbox/Development/Node/nzbindexer/node_modules/msgpack-lite/lib/read-format.js:179:22
      6    0.0%    0.0%  LazyCompile: *FastBuffer buffer.js:10:14
      6    0.0%    0.0%  KeyedStoreIC: A keyed store IC from the snapshot {5}
      6    0.0%    0.0%  Handler: level
      6    0.0%    0.0%  Handler: isConnected
      6    0.0%    0.0%  Handler: callback
      5    0.0%    0.0%  Stub: StoreFieldStub {6}
      5    0.0%    0.0%  Stub: RecordWriteStub {5}
      5    0.0%    0.0%  Stub: RecordWriteStub {11}
      5    0.0%    0.0%  Stub: MathPowStub {1}
      5    0.0%    0.0%  Stub: LoadFieldStub {3}
      5    0.0%    0.0%  RegExp: ^\\[\\d{6}\\]
      5    0.0%    0.0%  RegExp: \\.rar$
      5    0.0%    0.0%  LazyCompile: ~_unrefTimer net.js:217:52
      5    0.0%    0.0%  LazyCompile: *ToIndex native runtime.js:16:17
      5    0.0%    0.0%  Handler: options {1}
      5    0.0%    0.0%  Handler: onMessage
      5    0.0%    0.0%  Handler: created
      5    0.0%    0.0%  Handler: An IC handler from the snapshot {5}
      4    0.0%    0.0%  Stub: StoreFieldStub
      4    0.0%    0.0%  Stub: BinaryOpICWithAllocationSiteStub(ADD_CreateAllocationMementos:String*String->String) {12}
      4    0.0%    0.0%  Script: ~internal/module.js
      4    0.0%    0.0%  LazyCompile: ~exports.format util.js:65:26
      4    0.0%    0.0%  Handler: pid
      4    0.0%    0.0%  Handler: next
      4    0.0%    0.0%  Handler: An IC handler from the snapshot {1}
      4    0.0%    0.0%  Builtin: TypedArrayPrototypeBuffer
      4    0.0%    0.0%  Builtin: ToNumber
      4    0.0%    0.0%  Builtin: MathTrunc
      3    0.0%    0.0%  Stub: StoreFieldStub {7}
      3    0.0%    0.0%  Stub: GrowArrayElementsStub
      3    0.0%    0.0%  Stub: FastNewStrictArgumentsStub
      3    0.0%    0.0%  Stub: CallConstructStub
      3    0.0%    0.0%  Stub: BinaryOpWithAllocationSiteStub {1}
      3    0.0%    0.0%  LazyCompile: ~calculateElement /Volumes/Fast/Dropbox/Development/Node/nzbindexer/node_modules/bson/lib/bson/parser/calculate_size.js:49:26
      3    0.0%    0.0%  LazyCompile: ~RedisClient.return_reply /Volumes/Fast/Dropbox/Development/Node/nzbindexer/node_modules/redis/index.js:800:47
      3    0.0%    0.0%  LazyCompile: *uint16 /Volumes/Fast/Dropbox/Development/Node/nzbindexer/node_modules/msgpack-lite/lib/read-format.js:127:16
      3    0.0%    0.0%  LazyCompile: *splitted.forEach /Volumes/Fast/Dropbox/Development/Node/nzbindexer/lib/subjectextracter.js:167:21
      3    0.0%    0.0%  LazyCompile: *nop _stream_writable.js:17:13
      3    0.0%    0.0%  LazyCompile: *maybeReadMore_ _stream_readable.js:452:24
      3    0.0%    0.0%  LazyCompile: *MatchInfoCaptureWrapper native regexp.js:336:33
      3    0.0%    0.0%  Handler: symbol("nonexistent_symbol" hash 157aee38) {4}
      3    0.0%    0.0%  Handler: symbol("Symbol.replace" hash 776e6e)
      3    0.0%    0.0%  Builtin: ObjectAssign
      2    0.0%    0.0%  Stub: ToLengthStub
      2    0.0%    0.0%  Stub: StoreFieldStub {4}
      2    0.0%    0.0%  Stub: StoreFieldStub {3}
      2    0.0%    0.0%  Stub: RecordWriteStub {13}
      2    0.0%    0.0%  Stub: LoadConstantStub {3}
      2    0.0%    0.0%  Stub: LoadConstantStub {2}
      2    0.0%    0.0%  Stub: CompareICStub {5}
      2    0.0%    0.0%  Stub: BinaryOpWithAllocationSiteStub
      2    0.0%    0.0%  Stub: BinaryOpICWithAllocationSiteStub(ADD_CreateAllocationMementos:String*String->String) {4}
      2    0.0%    0.0%  Stub: BinaryOpICWithAllocationSiteStub(ADD_CreateAllocationMementos:String*String->String) {25}
      2    0.0%    0.0%  Stub: BinaryOpICWithAllocationSiteStub(ADD_CreateAllocationMementos:String*String->String) {11}
      2    0.0%    0.0%  Stub: BinaryOpICStub
      2    0.0%    0.0%  LazyCompile: ~slowToString buffer.js:434:22
      2    0.0%    0.0%  LazyCompile: ~resolve path.js:1131:28
      2    0.0%    0.0%  LazyCompile: ~iterator /Volumes/Fast/Dropbox/Development/Node/nzbindexer/node_modules/msgpack-lite/lib/codec-base.js:49:20
      2    0.0%    0.0%  LazyCompile: ~isOk /Volumes/Fast/Dropbox/Development/Node/nzbindexer/lib/subjectextracter.js:220:6
      2    0.0%    0.0%  LazyCompile: ~cleanDuplicateFilenames /Volumes/Fast/Dropbox/Development/Node/nzbindexer/lib/subjectextracter.js:159:25
      2    0.0%    0.0%  LazyCompile: ~addToOperationsList /Volumes/Fast/Dropbox/Development/Node/nzbindexer/node_modules/mongodb/lib/bulk/unordered.js:148:35
      2    0.0%    0.0%  LazyCompile: *uint8 /Volumes/Fast/Dropbox/Development/Node/nzbindexer/node_modules/msgpack-lite/lib/read-format.js:116:15
      2    0.0%    0.0%  LazyCompile: *reserve /Volumes/Fast/Dropbox/Development/Node/nzbindexer/node_modules/msgpack-lite/lib/flex-buffer.js:61:19
      2    0.0%    0.0%  LazyCompile: *createWriteReq net.js:747:24
      2    0.0%    0.0%  LazyCompile: *SubjectExtracter /Volumes/Fast/Dropbox/Development/Node/nzbindexer/lib/subjectextracter.js:19:13
      2    0.0%    0.0%  LazyCompile: *DoRegExpExec native regexp.js:63:22
      2    0.0%    0.0%  LazyCompile: *<anonymous> /Volumes/Fast/Dropbox/Development/Node/nzbindexer/node_modules/msgpack-lite/lib/ext-unpacker.js:74:18
      2    0.0%    0.0%  Handler: symbol("nonexistent_symbol" hash 157aee38) {6}
      2    0.0%    0.0%  Handler: symbol("nonexistent_symbol" hash 157aee38) {18}
      2    0.0%    0.0%  Handler: symbol("nonexistent_symbol" hash 157aee38) {16}
      2    0.0%    0.0%  Handler: symbol("nonexistent_symbol" hash 157aee38) {15}
      2    0.0%    0.0%  Handler: symbol("nonexistent_symbol" hash 157aee38) {12}
      2    0.0%    0.0%  Handler: symbol("Symbol.replace" hash 776e6e) {4}
